flat_type,flat_model,station_name,floor_area_sqm,max_floor_lvl,height_index,Distance_to_MRT,travel_time,remaining_lease,resale_price
2 ROOM,Improved,Ang Mo Kio,44.0,12,4.0,1.0,26,736,232000.0
2 ROOM,Improved,Ang Mo Kio,44.0,12,4.0,1.0,26,733,235000.0
2 ROOM,Improved,Ang Mo Kio,44.0,12,1.0,1.0,26,722,202000.0
2 ROOM,Improved,Ang Mo Kio,44.0,12,1.0,1.0,26,722,210000.0
2 ROOM,Improved,Ang Mo Kio,44.0,12,3.0,1.0,26,721,220000.0
2 ROOM,Improved,Ang Mo Kio,44.0,12,4.0,1.0,26,780,210000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,12,1.0,1.27,26,727,250000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,12,3.0,1.27,26,726,295000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,12,4.0,1.27,26,717,288000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,12,4.0,1.27,26,717,298000.0
3 ROOM,New Generation,Ang Mo Kio,82.0,12,1.0,1.27,26,711,345000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,12,4.0,1.27,26,703,266000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,12,3.0,1.27,26,701,290000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,2.0,0.95,26,745,265000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,3.0,0.95,26,806,312000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,2.0,0.95,26,743,306000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,4.0,0.95,26,741,280000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,1.0,0.95,26,741,290000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,3.0,0.95,26,740,260000.0
3 ROOM,New Generation,Ang Mo Kio,82.0,14,3.0,0.95,26,737,352888.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,3.0,0.95,26,736,295000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,2.0,0.95,26,734,250000.0
3 ROOM,New Generation,Ang Mo Kio,82.0,14,3.0,0.95,26,731,328888.0
3 ROOM,New Generation,Ang Mo Kio,82.0,14,2.0,0.95,26,724,318888.0
3 ROOM,New Generation,Ang Mo Kio,68.0,14,2.0,0.95,26,722,250000.0
3 ROOM,New Generation,Ang Mo Kio,82.0,14,3.0,0.95,26,722,338000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,4,2.0,0.75,26,738,280000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,4,2.0,0.75,26,738,285000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,2.0,1.02,26,700,285000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,3.0,1.02,26,754,235000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,5.0,1.02,26,694,300000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,4.0,1.02,26,692,320000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,5.0,1.02,26,685,268000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,2.0,1.02,26,682,300000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,3.0,1.02,26,681,258000.0
4 ROOM,New Generation,Ang Mo Kio,82.0,13,3.0,1.02,26,678,350000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,13,2.0,1.02,26,678,245000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,1.0,0.59,26,736,285000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,2.0,0.59,26,735,320000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,4.0,0.59,26,793,318000.0
3 ROOM,New Generation,Ang Mo Kio,82.0,11,2.0,0.59,26,729,360000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,3.0,0.59,26,728,295000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,1.0,0.59,26,728,248000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,4.0,0.59,26,722,288000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,3.0,0.59,26,722,315000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,4.0,0.59,26,721,288000.0
3 ROOM,New Generation,Ang Mo Kio,82.0,11,3.0,0.59,26,719,340000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,2.0,0.59,26,716,270000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,3.0,0.59,26,717,280000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,3.0,0.59,26,715,275000.0
3 ROOM,New Generation,Ang Mo Kio,67.0,11,1.0,0.59,26,712,242000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,12,1.0,0.69,26,745,288500.0
3 ROOM,New Generation,Ang Mo Kio,68.0,12,2.0,0.69,26,741,305000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,12,4.0,0.69,26,738,315000.0
3 ROOM,New Generation,Ang Mo Kio,82.0,12,3.0,0.69,26,737,330000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,12,2.0,0.69,26,725,275000.0
3 ROOM,New Generation,Ang Mo Kio,68.0,12,3.0,0.69,26,723,255000.0
